canonical_name,matched_name,country_hint,country_code,openalex_id,ror_id,match_status,source_names,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank,in_arwu_2025,in_qs_2027,in_usnews_2026_2027
King's College London,King's College London,United Kingdom,GB,https://openalex.org/I183935753,https://ror.org/0220mzb33,auto,King's College London,61,37,42,True,True,True
Lancaster University,Lancaster University,United Kingdom,GB,https://openalex.org/I67415387,https://ror.org/04f2nsd36,auto,Lancaster University,,164,,False,True,False
London School of Hygiene and Tropical Medicine,London School of Hygiene & Tropical Medicine,United Kingdom,GB,https://openalex.org/I4210089966,https://ror.org/00a0jsq62,manual,London School of Hygiene and Tropical Medicine,,,127,False,False,True
Newcastle University,Newcastle University,United Kingdom,GB,https://openalex.org/I84884186,https://ror.org/01kj2bm70,auto,Newcastle University,,149,,False,True,False
Queen Mary University of London,Queen Mary University of London,United Kingdom,GB,https://openalex.org/I166337079,https://ror.org/026zzn846,auto,"Queen Mary University of London; Queen Mary, University of London",,103,101,False,True,True
Queen's University Belfast,Queen's University Belfast,United Kingdom,GB,https://openalex.org/I126231945,https://ror.org/00hswnk62,auto,Queen's University Belfast,,174,,False,True,False
The London School of Economics and Political Science,London School of Economics and Political Science,United Kingdom,GB,https://openalex.org/I909854389,https://ror.org/0090zs177,manual,The London School of Economics and Political Science; The London School of Economics and Political Science (LSE),151-200,62,,True,True,False
The University of Edinburgh,University of Edinburgh,United Kingdom,GB,https://openalex.org/I98677209,https://ror.org/01nrxwf90,manual,The University of Edinburgh; University of Edinburgh,37,35,41,True,True,True
The University of Manchester,University of Manchester,United Kingdom,GB,https://openalex.org/I28407311,https://ror.org/027m9bs27,manual,The University of Manchester; University of Manchester,46,40,68,True,True,True
The University of Sheffield,University of Sheffield,United Kingdom,GB,https://openalex.org/I91136226,https://ror.org/05krs5044,manual,The University of Sheffield; University of Sheffield,151-200,82,186,True,True,True
The University of Warwick,University of Warwick,United Kingdom,GB,https://openalex.org/I39555362,https://ror.org/01a77tt86,manual,The University of Warwick; University of Warwick,101-150,68,200,True,True,True
University College London,University College London,United Kingdom,GB,https://openalex.org/I45129253,https://ror.org/02jx3x895,auto,UCL; University College London,14,8,9,True,True,True
University of Bath,University of Bath,United Kingdom,GB,https://openalex.org/I51601045,https://ror.org/002h8g185,auto,University of Bath,,125,,False,True,False
University of Birmingham,University of Birmingham,United Kingdom,GB,https://openalex.org/I79619799,https://ror.org/03angcq70,auto,University of Birmingham,151-200,68,97,True,True,True
University of Bristol,University of Bristol,United Kingdom,GB,https://openalex.org/I36234482,https://ror.org/0524sp257,auto,University of Bristol,98,57,115,True,True,True
University of Cambridge,University of Cambridge,United Kingdom,GB,https://openalex.org/I241749,https://ror.org/013meh722,auto,University of Cambridge,4,6,5,True,True,True
University of Exeter,University of Exeter,United Kingdom,GB,https://openalex.org/I23923803,https://ror.org/03yghzc09,auto,University of Exeter,151-200,136,138,True,True,True
University of Glasgow,University of Glasgow,United Kingdom,GB,https://openalex.org/I7882870,https://ror.org/00vtgdb53,auto,University of Glasgow,101-150,80,77,True,True,True
University of Leeds,University of Leeds,United Kingdom,GB,https://openalex.org/I130828816,https://ror.org/024mrxd33,auto,University of Leeds,151-200,77,146,True,True,True
University of Leicester,University of Leicester,United Kingdom,GB,https://openalex.org/I153648349,https://ror.org/04h699437,auto,University of Leicester,,,166,False,False,True
