rank,display_name,canonical_name,matched_name,country_code,score,works_2020_2024,top10_count,top1_count,top10_share,top1_share,h_index,field_entropy,active_fields,international_collab_proxy_share,oa_share,has_medical_school_or_center,openalex_id,ror_id,arwu_2025_rank,qs_2027_rank,usnews_2026_2027_rank
20,University of Hong Kong,The University of Hong Kong,University of Hong Kong,HK,76.97,73661,1569411,1158,21.305861,4.867573,1158,2.237360,12,0.655403,0.647548,True,https://openalex.org/I889458895,https://ror.org/02zhqgq86,67,11,40
21,"University of California, Los Angeles","University of California, Los Angeles","University of California, Los Angeles",US,75.86,100185,1640341,1630,16.373120,4.079847,1630,1.714741,8,0.519773,0.763268,True,https://openalex.org/I161318765,https://ror.org/046rm7j60,16,49,11
22,Northwestern University,Northwestern University,Northwestern University,US,75.25,57159,1396030,1429,24.423625,5.365124,1429,1.587769,7,0.560654,0.646162,True,https://openalex.org/I111979921,https://ror.org/000e0be47,31,45,26
23,University of Michigan,"University of Michigan, Ann Arbor",University of Michigan,US,75.20,554518,2069381,2069,3.731855,3.474785,2069,1.629380,9,0.473800,0.935531,True,https://openalex.org/I27837315,https://ror.org/00jmfr291,33,51,21
24,The University of Melbourne,The University of Melbourne,The University of Melbourne,AU,75.03,105639,1761455,1251,16.674287,3.881162,1251,1.950028,10,0.553169,0.746580,True,https://openalex.org/I165779595,https://ror.org/01ej9dk98,38,22,28
25,Zhejiang University,Zhejiang University,Zhejiang University,CN,74.78,144558,2617913,933,18.109776,5.512745,933,1.581404,7,0.566863,0.570795,False,https://openalex.org/I76130692,https://ror.org/00a2xv884,24,47,35
26,Yale University,Yale University,Yale University,US,74.74,102230,1731337,1768,16.935704,2.428498,1768,1.672796,6,0.429481,0.739626,True,https://openalex.org/I32971472,https://ror.org/03v76x132,11,16,8
27,The University of Sydney,University of Sydney,The University of Sydney,AU,74.61,93004,1678004,1252,18.042278,4.584241,1252,1.780661,10,0.557133,0.678218,True,https://openalex.org/I129604602,https://ror.org/0384j8v12,72,28,31
28,The University of Queensland,University of Queensland Australia,The University of Queensland,AU,73.78,79052,1485727,1443,18.794300,4.390468,1443,1.708069,8,0.534076,0.695441,True,https://openalex.org/I165143802,https://ror.org/00rqy9422,65,40,42
29,"University of California, San Francisco","University of California, San Francisco","University of California, San Francisco",US,73.77,77026,1574006,1691,20.434736,4.753498,1691,1.147679,5,0.449027,0.760691,True,https://openalex.org/I180670191,https://ror.org/043mz5j54,21,,22
